Ürün Adı,Resim URL,Kategoriler
Rulokat 9kat tat,Resim Yok,Gofret
VIVIDENT FULL  FRESH XXL,https://images.openfoodfacts.org/images/products/000/008/072/8863/front_fr.3.400.jpg,en:candies
Ikram,https://images.openfoodfacts.org/images/products/869/050/401/0203/front_tr.21.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Bisküvi"
Cay,https://images.openfoodfacts.org/images/products/869/010/500/0719/front_tr.13.400.jpg,"Bitkisel yiyecek ve içecekler, İçecekler, Sıcak içecekler, Bitkisel içecekler, Çay, Siyah çay"
tortu tam kraker,https://images.openfoodfacts.org/images/products/869/012/013/8725/front_tr.3.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Bisküvi"
Fanta 1 litre,Resim Yok,Kategori Yok
Klasik,https://images.openfoodfacts.org/images/products/869/062/410/1874/front_tr.7.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Atıştırmalıklar, Tahıllar ve patates, Tuzlu atıştırmalıklar, en:Appetizers, en:Chips and fries, en:Crisps, en:Potato crisps"
soosy,https://images.openfoodfacts.org/images/products/869/911/803/3523/front_ar.4.400.jpg,Ndedog
Biscuits riches en vitamines,https://images.openfoodfacts.org/images/products/325/622/744/7723/front_fr.20.400.jpg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits"
Tortilla,https://images.openfoodfacts.org/images/products/869/984/707/0424/front_en.7.400.jpg,Kategori Yok
Masterpiece,https://images.openfoodfacts.org/images/products/869/050/415/3740/front_en.18.400.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates"
premium,https://images.openfoodfacts.org/images/products/869/069/851/1678/front_tr.4.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Tahıllar ve patates, Ekmek, Dilim ekmek"
Cikolata %80 Bitter,https://images.openfoodfacts.org/images/products/869/050/414/2980/front_en.12.400.jpg,
Eti Karam Bitter,https://images.openfoodfacts.org/images/products/869/052/602/8040/front_fr.3.400.jpg,Kategori Yok
Albeni Viva,Resim Yok,"Snacks, Sweet snacks"
mistral,Resim Yok,Kategori Yok
Tutku,https://images.openfoodfacts.org/images/products/869/052/677/0345/front_en.3.400.jpg,en:frozen-desserts
Eti pop kek limonlu,https://images.openfoodfacts.org/images/products/869/052/608/3704/front_en.4.400.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, tr:Limonlu Kek"
Erikli,https://images.openfoodfacts.org/images/products/869/079/301/0151/front_tr.19.400.jpg,"İçecekler, Gazlı içecekler, Su, en:Spring waters, en:Mineral waters, en:Carbonated waters, en:Natural mineral waters, en:Carbonated natural mineral waters, en:Mildly carbonated natural mineral water"
Fuze Peach Ice Tea 330ML,https://images.openfoodfacts.org/images/products/544/900/000/2952/front_en.10.400.jpg,Kategori Yok
Caffe mocha,https://images.openfoodfacts.org/images/products/869/063/206/0804/front_en.4.400.jpg,"Bitkisel yiyecek ve içecekler, İçecekler, Bitkisel yiyecekler, Kahve, en:Instant beverages, Kahve tozu, en:Instant powder for coffee with milk"
Cubuk craker,https://images.openfoodfacts.org/images/products/869/050/411/7858/front_fr.3.400.jpg,
Cheerios,https://images.openfoodfacts.org/images/products/590/002/000/4574/front_en.5.400.jpg,Kategori Yok
peripella,https://images.openfoodfacts.org/images/products/869/507/702/0413/front_tr.9.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Hamur işi, Ekler, en:Chocolate eclairs"
Elmacik,https://images.openfoodfacts.org/images/products/868/015/281/0034/front_fr.3.400.jpg,Kategori Yok
Kakao,https://images.openfoodfacts.org/images/products/869/507/702/0833/front_tr.4.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Tahıllar ve patates, Tahıl ve tahıl ürünleri, Makarna"
Eti Browni Gold,https://images.openfoodfacts.org/images/products/869/052/605/3738/front_tr.4.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Kek"
danette,Resim Yok,Kategori Yok
Hamur Kabartma Tozu,https://images.openfoodfacts.org/images/products/869/062/925/2007/front_tr.8.400.jpg,"Gıda katkısı, en:Baking powder or raising agent"
Lay's Baharatli,https://images.openfoodfacts.org/images/products/869/062/410/3069/front_en.6.400.jpg,Kategori Yok
bonaqua qaz,Resim Yok,Kategori Yok
Kakao,https://images.openfoodfacts.org/images/products/869/507/702/0833/front_tr.4.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Tahıllar ve patates, Tahıl ve tahıl ürünleri, Makarna"
Ketchup,https://images.openfoodfacts.org/images/products/869/063/784/0821/front_fr.3.400.jpg,"Condiments, Sauces, Sauces tomate, Ketchup, en:Groceries"
Eker Ayran,https://images.openfoodfacts.org/images/products/869/131/652/0416/front_fr.3.400.jpg,"Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Ayrans et doughs, Ayrans"
Kaymak,https://images.openfoodfacts.org/images/products/869/507/700/7780/front_tr.11.400.jpg,"Mandıra ürünü, Fermente gıdalar, Fermente süt ürünleri, Kaymak"
Pepsi max,https://images.openfoodfacts.org/images/products/869/057/482/1563/front_fr.3.400.jpg,Boissons
Eti Karam Bitter,https://images.openfoodfacts.org/images/products/869/052/602/8040/front_fr.3.400.jpg,Kategori Yok
mistral,Resim Yok,Kategori Yok
Dorbi kakao,Resim Yok,Kategori Yok
Eti pop kek limonlu,https://images.openfoodfacts.org/images/products/869/052/608/3704/front_en.4.400.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, tr:Limonlu Kek"
Tutku,https://images.openfoodfacts.org/images/products/869/052/677/0345/front_en.3.400.jpg,en:frozen-desserts
Ayran,https://images.openfoodfacts.org/images/products/869/507/704/1067/front_en.7.400.jpg,Ayran
Ankara Tava,Resim Yok,"Et ürünleri, Hazır yemek, en:Meals with meat"
Caffe mocha,https://images.openfoodfacts.org/images/products/869/063/206/0804/front_en.4.400.jpg,"Bitkisel yiyecek ve içecekler, İçecekler, Bitkisel yiyecekler, Kahve, en:Instant beverages, Kahve tozu, en:Instant powder for coffee with milk"
Avsar zwarte moerbei en bes,https://images.openfoodfacts.org/images/products/868/134/903/0433/front_en.7.400.jpg,Kategori Yok
Ikram,Resim Yok,Kategori Yok
"Nitrotech, iso whey",https://images.openfoodfacts.org/images/products/063/165/671/3626/front_fr.3.400.jpg,Kategori Yok
Yupo Jelly,https://images.openfoodfacts.org/images/products/869/084/017/9961/front_fr.11.400.jpg,Bonbons gélifiés
Cubuk craker,https://images.openfoodfacts.org/images/products/869/050/411/7858/front_fr.3.400.jpg,
Elmacik,https://images.openfoodfacts.org/images/products/868/015/281/0034/front_fr.3.400.jpg,Kategori Yok
Eti Browni Gold,https://images.openfoodfacts.org/images/products/869/052/605/3738/front_tr.4.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Kek"
Kakaolu findik cremali,https://images.openfoodfacts.org/images/products/868/075/100/7439/front_tr.15.400.jpg,"Kahvaltı ürünleri, Ekmeğe sürülen ürünler, Ekmeğe sürülen tatlı ürünler, fr:Pâtes à tartiner, en:Hazelnut spreads, Ekmeğe sürülen çikolata, en:Cocoa and hazelnuts spreads"
Limonata,https://images.openfoodfacts.org/images/products/869/072/338/3300/front_fr.3.400.jpg,Kategori Yok
Hamur Kabartma Tozu,https://images.openfoodfacts.org/images/products/869/062/925/2007/front_tr.8.400.jpg,"Gıda katkısı, en:Baking powder or raising agent"
Noodle,https://images.openfoodfacts.org/images/products/868/090/802/0021/front_tr.8.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Tahıllar ve patates, Tahıl ve tahıl ürünleri, Makarna, en:Noodles"
danette,Resim Yok,Kategori Yok
Bal,https://images.openfoodfacts.org/images/products/869/099/815/1857/front_fr.3.400.jpg,Kategori Yok
Miel,https://images.openfoodfacts.org/images/products/869/019/890/0538/front_fr.15.400.jpg,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Produits de la ruche, Produits d'élevages, Édulcorants, Miels, Miels de fleurs"
Eti Pop kek Muzlu,https://images.openfoodfacts.org/images/products/869/052/608/3728/front_tr.3.400.jpg,Atıştırmalıklar
sonnenblumen,https://images.openfoodfacts.org/images/products/570/111/620/1712/front_de.10.400.jpg,"Frühstücke, Brotaufstriche, Süße Brotaufstriche, Bienenprodukte, Landwirtschaftliche Produkte, Süßstoffe, Honige"
Milka oreo choco,https://images.openfoodfacts.org/images/products/762/221/057/8266/front_ar.8.400.jpg,en:milka oreo coco
peripella,https://images.openfoodfacts.org/images/products/869/507/702/0413/front_tr.9.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Hamur işi, Ekler, en:Chocolate eclairs"
TOBLERONE,https://images.openfoodfacts.org/images/products/007/622/300/0264/front_en.14.400.jpg,Çikolata
Eti Cin,https://images.openfoodfacts.org/images/products/200/000/002/5175/front_en.7.400.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Orange Jelly"
Sirma limon Aromali,https://images.openfoodfacts.org/images/products/869/105/814/1832/front_en.14.400.jpg,"İçecekler, Gazlı içecekler, en:Sodas, Limonata, Tatlı içecekler"
Pure Life,https://images.openfoodfacts.org/images/products/869/771/355/0032/front_tr.3.400.jpg,Kategori Yok
Cheerios,https://images.openfoodfacts.org/images/products/590/002/000/4574/front_en.5.400.jpg,Kategori Yok
Calve Ranch Sos,https://images.openfoodfacts.org/images/products/869/063/780/5202/front_tr.4.400.jpg,"en:Condiments, Sos"
Orage juice,https://images.openfoodfacts.org/images/products/544/900/002/7313/front_en.3.400.jpg,"Растителни храни и напитки, Напитки, Растителни напитки, Плодови напитки, Сок и нектар, Плодови сокове, en:Fruit juices from concentrate, Сок от портокал, Сок от портокал от концентрат"
Cikolata Kaplamah Pismanige,https://images.openfoodfacts.org/images/products/869/742/504/1071/front_en.14.400.jpg,"Atıştırmalıklar, en:Sweet snacks, en:Confectioneries, Helva"
Elmacik,https://images.openfoodfacts.org/images/products/868/015/281/0034/front_fr.3.400.jpg,Kategori Yok
Cikolata Kaplamah Pismanige,https://images.openfoodfacts.org/images/products/869/742/504/1071/front_en.14.400.jpg,"Atıştırmalıklar, en:Sweet snacks, en:Confectioneries, Helva"
peripella,https://images.openfoodfacts.org/images/products/869/507/702/0413/front_tr.9.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Hamur işi, Ekler, en:Chocolate eclairs"
Cheerios,https://images.openfoodfacts.org/images/products/590/002/000/4574/front_en.5.400.jpg,Kategori Yok
High PrtoteinBar,https://images.openfoodfacts.org/images/products/868/118/508/6090/front_es.3.400.jpg,"Botanas, Snacks dulces, Barritas, Suplementos dietéticos, Suplementos de culturismo"
Limonata,https://images.openfoodfacts.org/images/products/869/072/338/3300/front_fr.3.400.jpg,Kategori Yok
Hamur Kabartma Tozu,https://images.openfoodfacts.org/images/products/869/062/925/2007/front_tr.8.400.jpg,"Gıda katkısı, en:Baking powder or raising agent"
danette,Resim Yok,Kategori Yok
Lay's Baharatli,https://images.openfoodfacts.org/images/products/869/062/410/3069/front_en.6.400.jpg,Kategori Yok
Ice tea limon,https://images.openfoodfacts.org/images/products/869/057/400/0814/front_fr.3.400.jpg,Kategori Yok
Eti Browni Gold,https://images.openfoodfacts.org/images/products/869/052/605/3738/front_tr.4.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Bisküviler ve kekler, Kek"
Milka oreo choco,https://images.openfoodfacts.org/images/products/762/221/057/8266/front_ar.8.400.jpg,en:milka oreo coco
Sarelle,https://images.openfoodfacts.org/images/products/869/055/091/3411/front_tr.8.400.jpg,"Kahvaltı ürünleri, Ekmeğe sürülen ürünler, Ekmeğe sürülen tatlı ürünler, fr:Pâtes à tartiner, en:Hazelnut spreads, Ekmeğe sürülen çikolata, en:Cocoa and hazelnuts spreads"
Ayran,https://images.openfoodfacts.org/images/products/868/132/400/2837/front_tr.14.400.jpg,"İçecekler, Mandıra ürünü, Fermente gıdalar, Fermente süt ürünleri, en:Dairy drinks, en:Fermented drinks, Fermente sütlü içecekler, en:Doogh and ayran, Ayran"
Gum,https://images.openfoodfacts.org/images/products/000/008/082/6835/front_tr.5.400.jpg,"Atıştırmalıklar, en:Sweet snacks, en:Confectioneries, en:Chewing gum, en:Sugar-free chewing gum"
bira,https://images.openfoodfacts.org/images/products/869/052/025/2953/front_tr.4.400.jpg,"İçecekler, Alkollü içecekler, Bira, Alkol"
Donuts chocolat,https://images.openfoodfacts.org/images/products/327/655/058/9938/front_fr.18.400.jpg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Donuts, en:Chocolate doughnuts"
Nesquik breakfast cereal bars,https://images.openfoodfacts.org/images/products/590/002/003/1136/front_fr.3.400.jpg,
Ekmek,https://images.openfoodfacts.org/images/products/869/911/804/1474/front_en.3.400.jpg,Kategori Yok
haribo  goldbears,https://images.openfoodfacts.org/images/products/000/000/090/1222/front_es.4.400.jpg,"Botanas, Snacks dulces, Dulces, Golosinas"
Chewing-gum,https://images.openfoodfacts.org/images/products/869/052/405/2122/front_fr.15.400.jpg,"Chewing-gum,gum"
Ayran,https://images.openfoodfacts.org/images/products/869/076/716/0042/front_fr.3.400.jpg,"Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Ayrans et doughs, Ayrans"
Nefis sutlu cikolatali,https://images.openfoodfacts.org/images/products/869/063/205/6753/front_en.12.400.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, tr:Çikolatalı gofret"
Torku Lia,https://images.openfoodfacts.org/images/products/869/012/011/9960/front_tr.3.400.jpg,
Hobby chocolate bar,https://images.openfoodfacts.org/images/products/869/050/402/7010/front_en.23.400.jpg,"Snacks,Sweet snacks,Confectioneries,Compound chocolates,Candy chocolate bars"
mini mini,Resim Yok,Kategori Yok
Honig-Senf Sauce,https://images.openfoodfacts.org/images/products/433/589/648/7274/front_tr.4.400.jpg,"en:Condiments, Sos, Hardal, en:groceries, Hardal"
Classic Peach Nectar,https://images.openfoodfacts.org/images/products/000/008/690/0201/front_fr.3.400.jpg,Kategori Yok
Dido Trio,https://images.openfoodfacts.org/images/products/869/050/413/1458/front_en.6.400.jpg,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Bars covered with chocolate"
el kremi,https://images.openfoodfacts.org/images/products/869/995/430/1381/front_tr.4.400.jpg,Kategori Yok
Mayonez,Resim Yok,"en:Condiments, Sos, Mayonez, en:groceries"
Nutella Ferrero,https://images.openfoodfacts.org/images/products/800/050/022/5615/front_en.18.400.jpg,"Breakfasts, Spreads, Sweet spreads, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads"
Caramels tendres au sel de Guerande,https://images.openfoodfacts.org/images/products/347/020/101/5870/front_fr.8.400.jpg,"Snacks, Snacks sucrés, Confiseries, Caramels, Caramels au beurre salé"
Fromage,https://images.openfoodfacts.org/images/products/000/002/305/2819/front_fr.6.400.jpg,Kategori Yok
black bruin,https://images.openfoodfacts.org/images/products/869/872/086/6611/front_en.3.400.jpg,Kategori Yok
ilmihal,https://images.openfoodfacts.org/images/products/978/975/901/8986/front_tr.4.400.jpg,10
Miel,https://images.openfoodfacts.org/images/products/869/099/810/2149/front_en.6.400.jpg,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys"
Danone,Resim Yok,"Desserts, Puddings"
Nocciolata organic hazelnut spread with cocoa,https://images.openfoodfacts.org/images/products/800/150/500/1099/front_en.4.400.jpg,"Breakfasts, Spreads, Sweet spreads"
Ayran,Resim Yok,Kategori Yok
Olive oil,https://images.openfoodfacts.org/images/products/869/137/522/9763/front_en.9.400.jpg,Kategori Yok
Hayat Su,https://images.openfoodfacts.org/images/products/869/359/340/0498/front_ar.10.400.jpg,"en:Beverages, en:Waters, Su"
Bebelac,https://images.openfoodfacts.org/images/products/869/974/500/6372/front_fr.3.400.jpg,Kategori Yok
Sparkling water,https://images.openfoodfacts.org/images/products/869/281/300/5055/front_tr.12.400.jpg,"İçecekler, Gazlı içecekler, Su, en:Spring waters, en:Mineral waters, en:Carbonated waters, en:Natural mineral waters, en:Carbonated natural mineral waters"
Skimmed cow milk,Resim Yok,"Dairies, Milks, Skimmed milks"
STICK,https://images.openfoodfacts.org/images/products/868/125/950/0491/front_en.10.400.jpg,"Snacks, Sweet snacks, Confectioneries, Chewing gum, Sugar-free chewing gum"
Collagen protein Drink,https://images.openfoodfacts.org/images/products/869/029/200/1506/front_fr.3.400.jpg,Kategori Yok
